"Dept_No","Dept_Name","Emp_No","Last_Name","First_Name"
"d007","Sales",10002,"Simmel","Bezalel"
"d007","Sales",10016,"Cappelletti","Kazuhito"
"d007","Sales",10034,"Swan","Bader"
"d007","Sales",10041,"Lenart","Uri"
"d007","Sales",10050,"Dredge","Yinghua"
"d007","Sales",10053,"Zschoche","Sanjiv"
"d007","Sales",10060,"Billingsley","Breannda"
"d007","Sales",10061,"Herber","Tse"
"d007","Sales",10068,"Brattka","Charlene"
"d007","Sales",10087,"Eugenio","Xinglin"
"d007","Sales",10088,"Syrzycki","Jungsoon"
"d007","Sales",10089,"Flasterstein","Sudharsan"
"d007","Sales",10093,"Desikan","Sailaja"
"d007","Sales",10095,"Morton","Hilari"
"d007","Sales",10099,"Sullins","Valter"
"d007","Sales",10101,"Heyers","Perla"
"d007","Sales",10107,"Baca","Dung"
"d007","Sales",10125,"Hiltgen","Syozo"
"d007","Sales",10136,"Pintelas","Zissis"
"d007","Sales",10148,"Azumi","Douadi"
"d007","Sales",10149,"Perry","Xiadong"
"d007","Sales",10151,"Lichtner","Itzchak"
"d007","Sales",10160,"Khasidashvili","Debatosh"
"d007","Sales",10178,"Litvinov","Valery"
"d007","Sales",10185,"Sidhu","Duro"
"d007","Sales",10199,"Ranta","Kazuhisa"
"d007","Sales",10209,"Ellozy","Yolla"
"d007","Sales",10214,"Ciolek","Tadahiko"
"d007","Sales",10215,"Duclos","Xiaobin"
"d007","Sales",10226,"Plessier","Xinglin"
"d007","Sales",10228,"Cesareni","Karoline"
"d007","Sales",10232,"Auria","Marko"
"d007","Sales",10234,"Bakhtari","Arunachalam"
"d007","Sales",10236,"Bade","Susumu"
"d007","Sales",10237,"Mandell","Yannis"
"d007","Sales",10243,"Pouyioutas","Wonhee"
"d007","Sales",10248,"Tempesti","Frederique"
"d007","Sales",10253,"Salinas","Zsolt"
"d007","Sales",10254,"Brattka","Shen"
"d007","Sales",10256,"Radhakrishnan","Irene"
"d007","Sales",10262,"Maraist","Mahendra"
"d007","Sales",10270,"Hartvigsen","Bedir"
"d007","Sales",10273,"Lieblein","Baocai"
"d007","Sales",10277,"Schwartzbauer","Isaac"
"d007","Sales",10291,"Seghrouchni","Dipayan"
"d007","Sales",10292,"Ghelli","Yucel"
"d007","Sales",10296,"Lorho","Petter"
"d007","Sales",10299,"Stentiford","Ipke"
"d007","Sales",10302,"Baer","Faiza"
"d007","Sales",10304,"Erie","Bernt"
"d007","Sales",10306,"Kilgour","Heng"
"d007","Sales",10308,"Holburn","Dzung"
"d007","Sales",10314,"Apsitis","Christfried"
"d007","Sales",10319,"Miyakawa","Mechthild"
"d007","Sales",10320,"Stasinski","Uinam"
"d007","Sales",10321,"Ravishankar","Guenter"
"d007","Sales",10330,"Bellmore","Kasturi"
"d007","Sales",10331,"Binkley","Arto"
"d007","Sales",10335,"Bahi","Toshimori"
"d007","Sales",10346,"Radwan","Aamod"
"d007","Sales",10355,"Cochrane","Satyanarayana"
"d007","Sales",10361,"Sidou","Seshu"
"d007","Sales",10369,"Toyoshima","Qunsheng"
"d007","Sales",10370,"Fandrianto","Clyde"
"d007","Sales",10374,"Rosin","Willard"
"d007","Sales",10375,"Kalafatis","Dante"
"d007","Sales",10378,"Lichtner","Takahira"
"d007","Sales",10380,"Kamble","Alejandro"
